철도운영기관명,선명,역명,출입구번호,상세위치
서울교통공사,1호선,동대문,,상행 10-4
서울교통공사,1호선,동대문,,하행 2-1
서울교통공사,1호선,동묘앞,,상행 4-8
서울교통공사,1호선,동묘앞,3,3번 출구측
서울교통공사,1호선,동묘앞,,하행 7-3
서울교통공사,1호선,동묘앞,,하행 1-2
서울교통공사,1호선,동묘앞,1,1~10번 출구 사이
서울교통공사,1호선,서울역,3,3번 출구측
서울교통공사,1호선,서울역,,섬식(상) 5-1
서울교통공사,1호선,서울역,4,4번 출구측
서울교통공사,1호선,시청,1,"1, 2번 출구사이"
서울교통공사,1호선,시청,,하행 8-3
서울교통공사,1호선,신설동,2,"2, 3번 출구 사이"
서울교통공사,1호선,신설동,,상행 3-4
서울교통공사,1호선,신설동,4,"4, 5번 출구 사이"
서울교통공사,1호선,제기동,,하행 2-1
서울교통공사,1호선,제기동,,상행 9-4
서울교통공사,1호선,종각,,상행 6-4
서울교통공사,1호선,종각,,하행 4-4
서울교통공사,1호선,종로3가,12,"12, 13번 출구측"
서울교통공사,1호선,종로3가,,하행 6-4
서울교통공사,1호선,종로5가,,하행 3-2
서울교통공사,1호선,종로5가,,상행 8-3
서울교통공사,1호선,청량리(서울시립대입구),6,6번 출구측
서울교통공사,2호선,강남,1,1번 출구측
서울교통공사,2호선,강남,10,10번 출구측
서울교통공사,2호선,강변(동서울터미널),,외선 4-2
서울교통공사,2호선,강변(동서울터미널),,내선 7-3
서울교통공사,2호선,건대입구,,외선 5-4
서울교통공사,2호선,교대(법원·검찰청),5,5번 출구측
서울교통공사,2호선,교대(법원·검찰청),,내선 3-1
서울교통공사,2호선,구로디지털단지,,내선 7-4
서울교통공사,2호선,구로디지털단지,,외선 3-4
서울교통공사,2호선,구의(광진구청),7,7-2 ~ 2번 출구측
서울교통공사,2호선,낙성대,6,6번 출구측
서울교통공사,2호선,낙성대,,내선 3-3
서울교통공사,2호선,당산,4,4번 출구측
서울교통공사,2호선,당산,,내선 3-2
서울교통공사,2호선,대림(구로구청),,내선 8-3
서울교통공사,2호선,대림(구로구청),7,7번 출구측(육교)
서울교통공사,2호선,동대문역사문화공원,,내선 3-2
서울교통공사,2호선,동대문역사문화공원,1,1번 출구측
서울교통공사,2호선,뚝섬,,내선 7-1
서울교통공사,2호선,뚝섬,3,3번 출구측
서울교통공사,2호선,문래,,내선 4-1
서울교통공사,2호선,문래,,외선 7-4
서울교통공사,2호선,방배,3,3번 출구측
서울교통공사,2호선,방배,,내선 3-1
서울교통공사,2호선,봉천,4,4번 출구측
서울교통공사,2호선,사당,14,14번 출구측
서울교통공사,2호선,사당,6,6번 출구측
서울교통공사,2호선,삼성(무역센터),8,8번 출구측
서울교통공사,2호선,삼성(무역센터),6,6번 출구측
서울교통공사,2호선,삼성(무역센터),4,4번 출구측
서울교통공사,2호선,삼성(무역센터),1,1번 출구측
서울교통공사,2호선,상왕십리,2,"2, 3출구 사이"
서울교통공사,2호선,상왕십리,,내선 3-4
서울교통공사,2호선,서울대입구(관악구청),,섬식(외)6-3
서울교통공사,2호선,서울대입구(관악구청),2,2번 출구측
