연번,호선,역명,장비,호기,승강기번호,운행구간,설치위치,설치일자,적재하중(㎏),정원(인),정격속도(m/min)
1,1,서울(1),E/L,내부#1,0074-205,B2(승)~B1(대),섬식(상)5-1,2014-12-02,750,11,60
2,1,서울(1),E/L,외부#1,0104-656,B1(대)~지상,2번출구측,2013-08-02,900,13,45
3,1,서울(1),E/L,외부#2,0105-867,B1(대)~지상,4번출구측,2000-05-01,1000,15,45
4,1,서울(1),E/L,외부#3,0073-979,B1(대)~지상,3번출구측,2014-11-01,1000,15,60
5,1,시청(1),E/L,내부#1,0002-888,B2(승)~B1(대),상행3-2,2004-03-13,1000,15,45
6,1,시청(1),E/L,내부#2,0002-887,B2(승)~B1(대),하행8-3,2004-03-13,1000,15,45
7,1,시청(1),E/L,외부#1,0002-889,B1(대)~지상,1-2번출구사이,2005-04-01,1000,15,45
8,1,종각,E/L,내부#1,0000-506,B2(승)~B1(대),상행6-4,2005-01-25,1000,15,45
9,1,종각,E/L,내부#2,0000-507,B2(승)~B1(대),하행4-4,2004-04-17,1000,15,45
10,1,종각,E/L,외부#1,0000-508,B1(대)~지상,3번출구측,2004-11-05,1000,15,45
11,1,종각,E/L,외부#2,0113-945,B1(대)~지상,1번출구측,2016-03-18,1000,15,60
12,1,종로3가(1),E/L,내부#1,0000-512,B2(승)~B1(대),상행4-4,2003-12-23,1000,15,60
13,1,종로3가(1),E/L,내부#2,0000-513,B2(승)~B1(대),하행6-4,2003-12-23,1000,15,60
14,1,종로3가(1),E/L,외부#1,0073-426,B1(대)~지상,12-13번출구측,2014-07-29,1000,15,60
15,1,종로5가,E/L,내부#1,0000-533,B2(승)~B1(대),상행8-3,2004-05-20,1000,15,45
16,1,종로5가,E/L,내부#2,0000-534,B2(승)~B1(대),하행3-2,2004-05-20,1000,15,45
17,1,종로5가,E/L,외부#1,0000-535,B1(대)~지상,8-9번출구측,2005-02-28,1000,15,45
18,1,동대문(1),E/L,내부#1,0000-906,B2(승)~B1(대),상행10-4,2003-12-24,750,11,60
19,1,동대문(1),E/L,내부#2,0000-907,B2(승)~B1(대),하행2-1,2003-12-24,750,11,60
20,1,동대문(1),E/L,외부#1,0000-905,B1(대)~지상,6번출구측,2004-08-14,1000,15,45
21,1,동묘앞,E/L,내부#1,0000-946,B1(승)~4F(건),본관건물(상)6-2,2005-12-31,1000,15,60
22,1,동묘앞,E/L,내부#2,0000-943,B2(연)~BM2~B1(승),상행10-3,2005-12-31,1000,15,60
23,1,동묘앞,E/L,내부#3,0000-947,B2(환)~B1(승),상행4-8,2005-12-31,1000,15,60
24,1,동묘앞,E/L,내부#4,0000-948,B2(연)~B1(승),하행7-3,2005-12-31,1000,15,60
25,1,동묘앞,E/L,내부#5,0000-944,B2(환)~B1(승),하행1-2,2005-12-31,1000,15,60
26,1,동묘앞,E/L,외부#1,0000-945,B1(승)~BM1~지상,1-10번출구사이,2005-12-31,1000,15,60
27,1,동묘앞,E/L,외부#2,0000-960,B1(승)~지상,3번출구측,2005-12-31,1000,15,60
28,1,신설동(1),E/L,내부#1,0003-532,B2(승)~B1(대),상행3-4,2012-11-30,1000,15,45
29,1,신설동(1),E/L,내부#2,0083-761,B2(승)~B1(대),하행8-1,2012-11-30,1000,15,45
30,1,신설동(1),E/L,외부#1,0083-763,B1(대)~지상,1번출구측,2004-05-27,1000,15,45
31,1,신설동(1),E/L,외부#2,0083-762,B1(대)~지상,2번출구/3번출구사이,2012-11-30,1000,15,45
32,1,신설동(1),E/L,외부#3,0083-764,B1(대)~지상,4번출구/5번출구사이,2012-11-30,1000,15,45
33,1,제기동,E/L,내부#1,0043-600,B2(승)~B1(대),상행9-4,2004-04-17,750,11,45
34,1,제기동,E/L,내부#2,0027-701,B2(승)~B1(대),하행2-1,2004-11-12,750,11,45
35,1,제기동,E/L,외부#1,0093-165,B1(대)~지상,1번출구측,2004-11-15,1000,15,45
36,1,청량리(1),E/L,외부#1,1042-264,B2(대)~지상,6번출구측,2005-03-06,1000,15,45
37,2,시청(2),E/L,내부#1,0042-520,B3(승)~B2대)~B1(대),섬식(외)6-2,2002-12-27,900,13,60
38,2,시청(2),E/L,외부#1,0002-886,B1(대)~지상,9번출구측,2004-02-27,1000,15,60
39,2,을지로입구,E/L,내부#1,0003-059,B2(승)~B1(대),외선5-3,2005-03-30,1000,15,45
40,2,을지로입구,E/L,내부#2,0003-058,B2(승)~B1(대),내선6-2,2005-03-30,1000,15,45
41,2,을지로입구,E/L,외부#1,0124-101,B1(대)~지상,1번출구측,2017-06-30,1000,15,60
42,2,을지로입구,E/L,외부#2,0104-712,B1(대)~지상,5번출구측,2013-12-05,1000,15,60
43,2,을지로3가(2),E/L,내부#1,0042-132,B2(승)~B1(대),외선8-3,2004-12-03,1000,15,45
44,2,을지로3가(2),E/L,내부#2,0042-133,B2(승)~B1(대),내선3-2,2004-12-03,1000,15,45
45,2,을지로4가,E/L,내부#1,0042-130,B2(승)~B1(대),외선3-2,2005-12-15,1000,15,60
46,2,을지로4가,E/L,내부#2,0042-131,B2(승)~B1(대),내선8-3,2003-12-31,1000,15,60
47,2,을지로4가,E/L,외부#1,0102-390,B1(대)~지상,8번출구,2003-12-31,1000,15,45
48,2,동대문역사문화공원(2),E/L,내부#1,0003-055,B2(승)~B1(대),외선8-3,2003-07-16,1000,15,45
49,2,동대문역사문화공원(2),E/L,내부#2,0003-056,B2(승)~B1(대),내선3-2,2004-04-26,1000,15,45
50,2,동대문역사문화공원(2),E/L,외부#1,0070-607,B1(대)~지상,1번출구측,2012-11-02,1000,17,60
51,2,신당,E/L,외부#1,0004-367,B1(대)~지상,2번출구측,2010-04-09,1000,15,45
52,2,신당,E/L,내부#1,0103-796,B2(승)~B1(대),외선3-4,2004-05-12,1000,15,45
53,2,신당,E/L,내부#2,0103-797,B2(승)~B1(대),내선7-4,2004-05-12,900,13,45
54,2,상왕십리,E/L,내부#1,0042-156,B2(승)~B1(대),외선8-1,2004-08-03,1000,15,45
55,2,상왕십리,E/L,내부#2,0042-157,B2(승)~B1(대),내선3-4,2004-08-03,1000,15,45
56,2,상왕십리,E/L,외부#1,0117-183,B1(대)~지상,2-3출구사이,2016-12-01,1000,24,60
57,2,왕십리,E/L,내부#1,0003-466,B3(승)~B2(대),외선3-2,2010-03-09,1000,15,45
